ContigID,Type,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Isolate
CENOTE_11_20_META29993_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META29993
CENOTE_11_20_META30004_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 2,Unclassified family 2,Unclassified family 2,CENOTE_11_20_META30004
CENOTE_11_20_META30011_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae,CENOTE_11_20_META30011
CENOTE_11_20_META30024_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META30024
CENOTE_11_20_META30315_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META30315
CENOTE_11_20_META30326_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META30326
CENOTE_11_20_META30485_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META30485
CENOTE_11_20_META30509_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META30509
CENOTE_11_20_META30561_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META30561
CENOTE_11_20_META30565_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META30565
CENOTE_11_20_META34927_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META34927
CENOTE_11_20_META34953_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META34953
CENOTE_11_20_META35134_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META35134
CENOTE_11_20_META37062_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 6,Unclassified family 6,Unclassified family 6,CENOTE_11_20_META37062
CENOTE_11_20_META39317_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META39317
CENOTE_11_20_META39369_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META39369
